"Rank","Name","Symbol","marketcap","price (INR)","country"
"1","Reliance Industries","RELIANCE.NS","18568162836480","2744.2","India"
"2","Tata Consultancy Services","TCS.NS","15012179476480","4149.2","India"
"3","HDFC Bank","HDB","12945850166968","5089.5978","India"
"4","Bharti Airtel","BHARTIARTL.NS","10103645274112","1687.4","India"
"5","ICICI Bank","IBN","8625165292585","2412.809","India"
"6","Infosys","INFY","8058758633390.1","1927.7251","India"
"7","State Bank of India","SBIN.NS","7137456553984","799.75","India"
"8","Hindustan Unilever","HINDUNILVR.NS","6539378688000","2783.2","India"
"9","ITC","ITC.NS","6106210369536","488.2","India"
"10","Life Insurance Corporation of India (LIC)","LICI.NS","6003032588288","948.85","India"
"11","HCL Technologies","HCLTECH.NS","4978332139520","1839.65","India"
"12","Larsen &amp; Toubro","LT.NS","4788471201792","3482.55","India"
"13","Sun Pharmaceutical","SUNPHARMA.NS","4563405897728","1901.95","India"
"14","Bajaj Finance","BAJFINANCE.NS","4516213686272","7302","India"
"15","NTPC Limited","NTPC.NS","4099749969920","422.5","India"
"16","Maruti Suzuki India","MARUTI.NS","4017017323520","12776.6","India"
"17","Tata Motors","TATAMOTORS.NS","3817582362624","930.7","India"
"18","Kotak Mahindra Bank","KOTAKBANK.NS","3742512447488","1882.4","India"
"19","Oil &amp; Natural Gas","ONGC.NS","3681624522752","292.55","India"
"20","Axis Bank","AXISBANK.BO","3626784260096","1172.4","India"
"21","Adani Enterprises","ADANIENT.NS","3576408047616","3137.2","India"
"22","Mahindra &amp; Mahindra","M&M.NS","3495176437760","3134.35","India"
"23","Bajaj Auto","BAJAJ-AUTO.NS","3324394078208","11877","India"
"24","UltraTech Cement","ULTRACEMCO.NS","3293217554432","11421.3","India"
"25","Titan Company","TITAN.NS","3082008133632","3474.4","India"
"26","Powergrid Corporation of India","POWERGRID.NS","3069662724096","330.05","India"
"27","Adani Ports & SEZ","ADANIPORTS.NS","3043833937920","1408.25","India"
"28","Coal India","COALINDIA.NS","3037917872128","492.95","India"
"29","Bajaj Finserv","BAJAJFINSV.NS","2990343716864","1876.4","India"
"30","DMart","DMART.NS","2975606767616","4572.7","India"
"31","Hindustan Aeronautics","HAL.NS","2973473701888","4446.15","India"
"32","Trent Limited","TRENT.NS","2929040031744","8234.95","India"
"33","Asian Paints","ASIANPAINT.NS","2912811483136","3037.2","India"
"34","Adani Green Energy","ADANIGREEN.NS","2840421728256","1792.2","India"
"35","Wipro","WIT","2798363715625","535.5259","India"
"36","Siemens India","SIEMENS.NS","2759894237184","7749.9","India"
"37","Adani Power","ADANIPOWER.NS","2477312442368","642.3","India"
"38","JSW Steel","JSWSTEEL.NS","2466527576064","1012.05","India"
"39","Nestlé India","NESTLEIND.NS","2421769633792","2511.8","India"
"40","Zomato","ZOMATO.NS","2416411148288","277.55","India"
"41","Indian Oil","IOC.NS","2303873515520","163.15","India"
"42","Jio Financial Services","JIOFIN.NS","2169645170688","341.5","India"
"43","Hindustan Zinc","HINDZINC.NS","2130194989056","504.15","India"
"44","DLF","DLF.NS","2095597486080","846.6","India"
"45","Bharat Electronics","BEL.NS","2089866100736","285.9","India"
"46","Tata Steel","TATASTEEL.NS","2005599125504","160.66","India"
"47","Indian Railway Finance","IRFC.NS","1991898431488","152.4","India"
"48","Vedanta","VEDL.NS","1942140485632","497.5","India"
"49","Varun Beverages","VBL.NS","1924319936512","592.35","India"
"50","LTIMindtree","LTIM.NS","1898109206528","6410.95","India"
"51","Grasim Industries","GRASIM.NS","1828642488320","2725.55","India"
"52","InterGlobe Aviation","INDIGO.NS","1812948451328","4693.45","India"
"53","ABB India","ABB.NS","1812597440512","8553.7","India"
"54","SBI Life Insurance","SBILIFE.NS","1740897124352","1735.05","India"
"55","Hindalco Industries","HINDALCO.NS","1659580317696","747.35","India"
"56","Divis Laboratories","DIVISLAB.NS","1630576967680","6142.25","India"
"57","Pidilite","PIDILITIND.NS","1581891321856","3110.2","India"
"58","HDFC Life","HDFCLIFE.NS","1558680567808","723.85","India"
"59","Power Finance Corp","PFC.NS","1543951876096","467.85","India"
"60","GAIL","GAIL.NS","1508323360768","229.4","India"
"61","Samvardhana Motherson","MOTHERSON.NS","1497465356288","212.82","India"
"62","Tata Power","TATAPOWER.NS","1473531084800","461.15","India"
"63","Tech Mahindra","TECHM.NS","1456718610432","1647.05","India"
"64","Bharat Petroleum","BPCL.NS","1444787388416","337.65","India"
"65","Ambuja Cements","AMBUJACEM.NS","1441915338752","585.2","India"
"66","Britannia Industries","BRITANNIA.NS","1440029343744","5978.5","India"
"67","Rural Electrification Corp","RECLTD.NS","1416409120768","537.9","India"
"68","Godrej","GODREJCP.NS","1345855815680","1315.7","India"
"69","TVS Motor","TVSMOTOR.NS","1327559475200","2794.35","India"
"70","CG Power and Industrial Solutions","CGPOWER.NS","1312137150464","858.15","India"
"71","Eicher Motors","EICHERMOT.NS","1295773990912","4728.05","India"
"72","Cipla","CIPLA.NS","1288719695872","1595.75","India"
