"Rank","Name","Symbol","operating_margin_ttm","price (INR)","country"
"1","Power Finance Corp","PFC.NS","9877","467.85","India"
"2","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","9748","10851.1","India"
"3","Sundaram Finance","SUNDARMHLD.NS","9598","346.95","India"
"4","Hudco","HUDCO.NS","9583","223.1","India"
"5","JSW Holdings","JSWHL.NS","9276","8974.75","India"
"6","Tata Investment Corporation","TATAINVEST.NS","9176","7048.3","India"
"7","360 One Wam","360ONE.NS","8393","1056.9","India"
"8","N.B.I. Industrial Finance","NBIFIN.NS","8354","2388.3","India"
"9","Motilal Oswal Financial Services","MOTILALOFS.NS","7999","808.55","India"
"10","Jio Financial Services","JIOFIN.NS","7760","341.5","India"
"11","Repco Home Finance","REPCOHOME.NS","7719","497.55","India"
"12","LIC Housing Finance","LICHSGFIN.NS","7084","619.5","India"
"13","Poonawalla Fincorp","POONAWALLA.NS","7052","380.7","India"
"14","Alembic Limited","ALEMBICLTD.NS","6952","138.38","India"
"15","CDSL","CDSL.NS","6878","1478.05","India"
"16","SJVN","SJVN.NS","6463","120.19","India"
"17","Powergrid Corporation of India","POWERGRID.NS","6100","330.05","India"
"18","Oberoi Realty","OBEROIRLTY.NS","6091","1919.15","India"
"19","Muthoot Finance","MUTHOOTFIN.NS","6019","1945.45","India"
"20","Sun TV Network","SUNTV.NS","5998","783.85","India"
"21","Paisalo Digital","PAISALO.NS","5892","52.39","India"
"22","Bajaj Finance","BAJFINANCE.NS","5522","7302","India"
"23","Zee Learn","ZEELEARN.NS","5240","11.1","India"
"24","Godrej Properties","GODREJPROP.NS","5218","3014.25","India"
"25","NHPC Limited","NHPC.NS","5129","90.92","India"
"26","Phoenix Mills","PHOENIXLTD.NS","5088","1628.95","India"
"27","Adani Ports & SEZ","ADANIPORTS.NS","5053","1408.25","India"
"28","Shriram Transport Finance","SHRIRAMFIN.NS","5046","3341.2","India"
"29","Natco Pharma","NATCOPHARM.NS","4731","1436.25","India"
"30","Graphite India","GRAPHITE.NS","4651","579.05","India"
"31","ICICI Securities","ISEC.NS","4627","829.45","India"
"32","MapmyIndia","MAPMYINDIA.NS","4608","2135.15","India"
"33","Indiabulls Housing Finance","IBULHSGFIN.NS","4587","164.4","India"
"34","Indian Railway Finance","IRFC.NS","4567","152.4","India"
"35","BSE","BSE.NS","4549","4496.45","India"
"36","Cholamandalam Investment and Finance","CHOLAFIN.NS","4548","1501.05","India"
"37","City Union Bank","CUB.NS","4511","153.9","India"
"38","Axis Bank","AXISBANK.BO","4508","1172.4","India"
"39","MSTC Limited","MSTCLTD.NS","4493","686.15","India"
"40","CARE's Ratings","CARERATING.NS","4428","1230.35","India"
"41","Prestige Group","PRESTIGE.NS","4286","1854.5","India"
"42","Federal Bank","FEDERALBNK.NS","4233","187.55","India"
"43","Coal India","COALINDIA.NS","4068","492.95","India"
"44","Hindustan Zinc","HINDZINC.NS","4065","504.15","India"
"45","IndiaMART","INDIAMART.NS","4029","3011.4","India"
"46","KFin Technologies","KFINTECH.NS","4021","1044.1","India"
"47","Geojit Financial Services","GEOJITFSL.NS","4019","137.94","India"
"48","Bajaj Finserv","BAJAJFINSV.NS","3981","1876.4","India"
"49","National Mineral Development Corporation","NMDC.NS","3958","233.68","India"
"50","IDBI Bank","IDBI.NS","3940","83.28","India"
"51","Karur Vysya Bank","KARURVYSYA.NS","3936","199.04","India"
"52","Vedant Fashions","MANYAVAR.NS","3917","1320.05","India"
"53","IndusInd Bank","INDUSINDBK.NS","3911","1347.6","India"
"54","IIFL Finance","IIFL.NS","3900","469.55","India"
"55","Kotak Mahindra Bank","KOTAKBANK.NS","3898","1882.4","India"
"56","Bank of Baroda","BANKBARODA.NS","3887","242.42","India"
"57","Wonderla Holidays","WONDERLA.NS","3887","903.05","India"
"58","JSW Energy","JSWENERGY.NS","3856","706.7","India"
"59","Info Edge","NAUKRI.NS","3839","8363.3","India"
"60","ITC","ITC.NS","3795","488.2","India"
"61","Hindustan Aeronautics","HAL.NS","3760","4446.15","India"
"62","Aavas Financiers","AAVAS.NS","3724","1718.85","India"
"63","ICICI Bank","IBN","3712","2412.809","India"
"64","Indian Railway Catering & Tourism","IRCTC.NS","3675","889.2","India"
"65","Adani Power","ADANIPOWER.NS","3670","642.3","India"
"66","Aditya Birla Capital","ABCAPITAL.NS","3627","220.84","India"
"67","DLF","DLF.NS","3611","846.6","India"
"68","EIH Limited","EIHOTEL.NS","3566","430.2","India"
"69","Karnataka Bank","KTKBANK.NS","3500","228.2","India"
"70","Bharat Dynamics","BDL.NS","3488","1221.95","India"
"71","CSB Bank","CSBBANK.NS","3482","307.3","India"
"72","Hindustan Oil Exploration Company","HINDOILEXP.NS","3452","217.78","India"
"73","Chalet Hotels","CHALET.NS","3357","890","India"
"74","Eicher Motors","EICHERMOT.NS","3296","4728.05","India"
"75","Bank of India","BANKINDIA.NS","3280","105.53","India"
"76","Colgate-Palmolive India","COLPAL.NS","3261","3689.65","India"
"77","AIA Engineering","AIAENG.NS","3199","4074.35","India"
"78","Delta Corp","DELTACORP.NS","3193","124.73","India"
"79","Punjab National Bank","PNB.NS","3172","104.91","India"
"80","Bank of Maharashtra","MAHABANK.NS","3159","54.24","India"
"81","South Indian Bank","SOUTHBANK.NS","3154","23.86","India"
"82","Spandana Sphoorty Financial","SPANDANA.NS","3147","538.15","India"
"83","Canara Bank","CANBK.NS","3115","104.06","India"
"84","Gujarat Mineral Development","GMDCLTD.NS","3097","340","India"
"85","PTC Financial Services","PFS.NS","3087","47.96","India"
"86","Indus Towers","INDUSTOWER.NS","3080","378.5","India"
"87","Tata Elxsi","TATAELXSI.NS","2959","7675.15","India"
"88","HDFC Bank","HDB","2913","5089.5978","India"
"89","Indian Hotels Company","INDHOTEL.NS","2903","708.55","India"
"90","Abbott India","ABBOTINDIA.NS","2828","28808.2","India"
"91","Oil India","OIL.NS","2822","584.55","India"
"92","Neuland Laboratories","NEULANDLAB.NS","2814","14247.6","India"
"93","State Bank of India","SBIN.NS","2803","799.75","India"
"94","Divis Laboratories","DIVISLAB.NS","2796","6142.25","India"
"95","Embassy Office Parks REIT","EMBASSY.BO","2795","387.76","India"
"96","Multi Commodity Exchange","MCX.NS","2784","6410.55","India"
"97","CRISIL","CRISIL.NS","2767","4711.85","India"
"98","AU Small Finance Bank","AUBANK.NS","2759","690.4","India"
"99","Indian Bank","INDIANB.NS","2756","524.55","India"
"100","Nucleus Software Exports","NUCLEUS.NS","2756","1299.6","India"
"101","Kaveri Seed","KSCL.NS","2744","935.65","India"
"102","Finolex Industries","FINPIPE.NS","2743","299.45","India"
"103","Hindustan Copper","HINDCOPPER.NS","2732","315.85","India"
"104","Zydus Lifesciences","ZYDUSLIFE.NS","2716","1064.4","India"
"105","Bharat Electronics","BEL.NS","2667","285.9","India"
"106","Accelya","ACCELYA.NS","2665","1767.85","India"
"107","Sanofi India Limited","SANOFI.NS","2647","6915.1","India"
"108","MPS Limited","MPSLTD.NS","2641","2092.3","India"
"109","PI Industries","PIIND.NS","2637","4523.6","India"
"110","Cummins India","CUMMINSIND.NS","2622","3614.15","India"
"111","RITES","RITES.NS","2620","313.6","India"
"112","Fine Organics","FINEORG.NS","2606","5080.5","India"
"113","Tata Consultancy Services","TCS.NS","2605","4149.2","India"
"114","EaseMyTrip","EASEMYTRIP.NS","2590","34.19","India"
"115","Torrent Pharmaceuticals","TORNTPHARM.NS","2587","3497.05","India"
"116","Bandhan Bank","BANDHANBNK.NS","2587","210.26","India"
"117","eMudhra","EMUDHRA.NS","2577","952.5","India"
"118","Ingersoll Rand India","INGERRAND.NS","2572","4434.75","India"
"119","Voltamp Transformers","VOLTAMP.NS","2523","13599","India"
"120","Dr. Reddy's","RDY","2518","6578.4775","India"
"121","Mahanagar Gas","MGL.NS","2511","1834","India"
"122","Godawari Power &amp; Ispat","GPIL.NS","2493","190.9","India"
"123","Sun Pharmaceutical","SUNPHARMA.NS","2480","1901.95","India"
"124","Dr Lal PathLabs","LALPATHLAB.NS","2470","3505.95","India"
"125","SBI Card","SBICARD.NS","2443","733.75","India"
"126","Max Healthcare Institute","MAXHEALTH.NS","2441","939.8","India"
"127","MOIL","MOIL.NS","2433","382.75","India"
"128","Biocon","BIOCON.NS","2431","346.15","India"
"129","GMR Group","GMRINFRA.NS","2425","88.42","India"
"130","Union Bank of India","UNIONBANK.NS","2424","114.12","India"
"131","Infosys","INFY","2418","1927.7251","India"
"132","Anant Raj","ANANTRAJ.NS","2404","750.2","India"
"133","eClerx Services","ECLERX.NS","2388","3090.55","India"
"134","Punjab &amp; Sind Bank","PSB.NS","2387","52.16","India"
"135","National Aluminum &amp; Alloy","NATIONALUM.NS","2386","222.92","India"
"136","Solar Industries India","SOLARINDS.NS","2380","11318.4","India"
"137","NLC India","NLCINDIA.NS","2366","266.1","India"
"138","Kewal Kiran Clothing","KKCL.NS","2355","666.25","India"
"139","Wendt India","WENDT.NS","2354","14724.2","India"
