"Rank","Name","Symbol","earnings_ttm","price (INR)","country"
"1","Reliance Industries","RELIANCE.NS","12437000000","2744.2","India"
"2","State Bank of India","SBIN.NS","11098800000","799.75","India"
"3","HDFC Bank","HDB","9928920000","5089.5978","India"
"4","Oil &amp; Natural Gas","ONGC.NS","9349900000","292.55","India"
"5","ICICI Bank","IBN","7654640000","2412.809","India"
"6","Tata Consultancy Services","TCS.NS","7564950000","4149.2","India"
"7","Coal India","COALINDIA.NS","6344690000","492.95","India"
"8","Indian Oil","IOC.NS","5126300000","163.15","India"
"9","Bajaj Finserv","BAJAJFINSV.NS","5064850000","1876.4","India"
"10","Life Insurance Corporation of India (LIC)","LICI.NS","5026470000","948.85","India"
"11","NTPC Limited","NTPC.NS","4822130000","422.5","India"
"12","Infosys","INFY","4512000000","1927.7251","India"
"13","Axis Bank","AXISBANK.BO","4277390000","1172.4","India"
"14","Power Finance Corp","PFC.NS","4211510000","467.85","India"
"15","Tata Motors","TATAMOTORS.NS","3861840000","930.7","India"
"16","Vedanta","VEDL.NS","3691970000","497.5","India"
"17","Kotak Mahindra Bank","KOTAKBANK.NS","3371630000","1882.4","India"
"18","Powergrid Corporation of India","POWERGRID.NS","3354560000","330.05","India"
"19","ITC","ITC.NS","3263740000","488.2","India"
"20","Bank of Baroda","BANKBARODA.NS","3167000000","242.42","India"
"21","Bharat Petroleum","BPCL.NS","3116460000","337.65","India"
"22","Larsen &amp; Toubro","LT.NS","2930180000","3482.55","India"
"23","Mahindra &amp; Mahindra","M&M.NS","2863640000","3134.35","India"
"24","HCL Technologies","HCLTECH.NS","2638590000","1839.65","India"
"25","Canara Bank","CANBK.NS","2533980000","104.06","India"
"26","Bajaj Finance","BAJFINANCE.NS","2403910000","7302","India"
"27","Adani Power","ADANIPOWER.NS","2389890000","642.3","India"
"28","Hindalco Industries","HINDALCO.NS","2303310000","747.35","India"
"29","Maruti Suzuki India","MARUTI.NS","2299180000","12776.6","India"
"30","Rural Electrification Corp","RECLTD.NS","2231590000","537.9","India"
"31","Punjab National Bank","PNB.NS","2152210000","104.91","India"
