"Rank","Name","Symbol","employees_count","price (INR)","country"
"1","Tata Consultancy Services","TCS.NS","601546","4149.2","India"
"2","Infosys","INFY","317240","1927.7251","India"
"3","Mahindra &amp; Mahindra","M&M.NS","260000","3134.35","India"
"4","Coal India","COALINDIA.NS","248550","492.95","India"
"5","Reliance Industries","RELIANCE.NS","236334","2744.2","India"
"6","Wipro","WIT","234000","535.5259","India"
"7","State Bank of India","SBIN.NS","232296","799.75","India"
"8","HCL Technologies","HCLTECH.NS","219325","1839.65","India"
"9","HDFC Bank","HDB","173222","5089.5978","India"
"10","ICICI Bank","IBN","157799","2412.809","India"
"11","Tata Steel","TATASTEEL.NS","121869","160.66","India"
"12","Tech Mahindra","TECHM.NS","116331","1647.05","India"
"13","Axis Bank","AXISBANK.BO","104633","1172.4","India"
"14","Punjab National Bank","PNB.NS","104120","104.91","India"
"15","Life Insurance Corporation of India (LIC)","LICI.NS","104036","948.85","India"
"16","Kotak Mahindra Bank","KOTAKBANK.NS","103000","1882.4","India"
"17","Bajaj Finserv","BAJAJFINSV.NS","92079","1876.4","India"
"18","Tata Motors","TATAMOTORS.NS","91496","930.7","India"
"19","Canara Bank","CANBK.NS","84978","104.06","India"
"20","LTIMindtree","LTIM.NS","81650","6410.95","India"
"21","Bank of Baroda","BANKBARODA.NS","78122","242.42","India"
"22","Union Bank of India","UNIONBANK.NS","75866","114.12","India"
"23","Apollo Hospitals","APOLLOHOSP.NS","71113","6983.4","India"
"24","Shriram Transport Finance","SHRIRAMFIN.NS","64052","3341.2","India"
"25","Steel Authority of India","SAIL.NS","62181","134.03","India"
"26","Bandhan Bank","BANDHANBNK.NS","61247","210.26","India"
"27","WNS","WNS","60125","4005.0948","India"
"28","Larsen &amp; Toubro","LT.NS","54303","3482.55","India"
"29","Bank of India","BANKINDIA.NS","50944","105.53","India"
"30","Samvardhana Motherson","MOTHERSON.NS","47456","212.82","India"
"31","Indian Bank","INDIANB.NS","41699","524.55","India"
"32","BOSCH India","BOSCHLTD.NS","38700","38486.8","India"
"33","Sun Pharmaceutical","SUNPHARMA.NS","38000","1901.95","India"
"34","ITC","ITC.NS","37312","488.2","India"
"35","Hindalco Industries","HINDALCO.NS","35869","747.35","India"
"36","Bajaj Finance","BAJFINANCE.NS","35425","7302","India"
"37","IndusInd Bank","INDUSINDBK.NS","33582","1347.6","India"
"38","HDFC Life","HDFCLIFE.NS","32448","723.85","India"
"39","Central Bank of India","CENTRALBK.NS","31610","56.96","India"
"40","Gokaldas Exports","GOKEX.NS","31483","932.15","India"
"41","Indian Oil","IOC.NS","31254","163.15","India"
"42","Aditya Birla Capital","ABCAPITAL.NS","30905","220.84","India"
"43","AU Small Finance Bank","AUBANK.NS","29738","690.4","India"
"44","Jubilant FoodWorks","JUBLFOOD.NS","29346","629.7","India"
"45","IDFC FIRST Bank","IDFCFIRSTB.NS","27804","72.37","India"
"46","Yes Bank","YESBANK.NS","27517","21.4","India"
"47","Oil &amp; Natural Gas","ONGC.NS","27165","292.55","India"
"48","Dr. Reddy's","RDY","27048","6578.4775","India"
"49","Muthoot Finance","MUTHOOTFIN.NS","26716","1945.45","India"
"50","InterGlobe Aviation","INDIGO.NS","26164","4693.45","India"
"51","Welspun India","WELSPUNIND.NS","26000","158.95","India"
"52","Cipla","CIPLA.NS","25927","1595.75","India"
"53","Trent Limited","TRENT.NS","25277","8234.95","India"
"54","Arvind","ARVIND.NS","25188","360.2","India"
"55","Mphasis","MPHASIS.NS","24518","2876.35","India"
"56","Hindustan Aeronautics","HAL.NS","24375","4446.15","India"
"57","Page Industries","PAGEIND.NS","23853","45370.2","India"
"58","Bharti Airtel","BHARTIARTL.NS","23628","1687.4","India"
"59","Grasim Industries","GRASIM.NS","23591","2725.55","India"
"60","Coforge","COFORGE.NS","23224","7380.6","India"
"61","Tata Power","TATAPOWER.NS","23025","461.15","India"
"62","Zydus Lifesciences","ZYDUSLIFE.NS","23000","1064.4","India"
"63","Indian Overseas Bank","IOB.NS","22052","54.29","India"
"64","UltraTech Cement","ULTRACEMCO.NS","21942","11421.3","India"
"65","Future Retail","FRETAIL.NS","21839","2.28","India"
"66","Hinduja Global Solutions","HGS.NS","21608","788","India"
"67","L&amp;T Technology Services","LTTS.NS","21271","5234.2","India"
"68","Lupin Limited","LUPIN.NS","20933","2224.5","India"
