"Rank","Name","Symbol","revenue_ttm","price (INR)","country"
"1","Reliance Industries","RELIANCE.NS","111086832417","2744.2","India"
"2","Life Insurance Corporation of India (LIC)","LICI.NS","104146002488","948.85","India"
"3","Indian Oil","IOC.NS","92218272535","163.15","India"
"4","Oil &amp; Natural Gas","ONGC.NS","77528551410","292.55","India"
"5","Bharat Petroleum","BPCL.NS","53806964559","337.65","India"
"6","Tata Motors","TATAMOTORS.NS","52916067823","930.7","India"
"7","Hindustan Petroleum","HINDPETRO.NS","52065129513","395.5","India"
"8","State Bank of India","SBIN.NS","39589044690","799.75","India"
"9","HDFC Bank","HDB","34078962625","5089.5978","India"
"10","Rajesh Exports","RAJESHEXPO.NS","30648442825","291.45","India"
"11","Tata Consultancy Services","TCS.NS","29032758212","4149.2","India"
"12","Larsen &amp; Toubro","LT.NS","27173412223","3482.55","India"
"13","Tata Steel","TATASTEEL.NS","26735543553","160.66","India"
"14","Hindalco Industries","HINDALCO.NS","26271592476","747.35","India"
"15","NTPC Limited","NTPC.NS","22083293577","422.5","India"
"16","JSW Steel","JSWSTEEL.NS","20788189736","1012.05","India"
"17","ICICI Bank","IBN","20616384519","2412.809","India"
"18","Infosys","INFY","18660000000","1927.7251","India"
"19","Bharti Airtel","BHARTIARTL.NS","18134371283","1687.4","India"
"20","Vedanta","VEDL.NS","17251633404","497.5","India"
"21","Mahindra &amp; Mahindra","M&M.NS","16736771144","3134.35","India"
"22","SBI Life Insurance","SBILIFE.NS","16660558534","1735.05","India"
"23","Maruti Suzuki India","MARUTI.NS","16562047247","12776.6","India"
"24","GAIL","GAIL.NS","16184680804","229.4","India"
"25","Grasim Industries","GRASIM.NS","15938184877","2725.55","India"
"26","Coal India","COALINDIA.NS","15598139956","492.95","India"
"27","HCL Technologies","HCLTECH.NS","13407034569","1839.65","India"
"28","Bajaj Finserv","BAJAJFINSV.NS","12719726444","1876.4","India"
"29","HDFC Life","HDFCLIFE.NS","12687957276","723.85","India"
"30","Steel Authority of India","SAIL.NS","12608482001","134.03","India"
