,Name,Symbol,country,price (INR),marketcap,revenue_ttm,operating_margin_ttm,earnings_ttm,employees_count,pe_ratio_ttm
0,Reliance Industries,RELIANCE.NS,India,2744.2,1856816.28,111086.83,11.19,12437.0,236334,26.6043
1,Tata Consultancy Services,TCS.NS,India,4149.2,1501217.95,29032.76,26.05,7564.95,601546,33.3694
2,HDFC Bank,HDB,India,5089.5978,1294585.02,34078.96,29.13,9928.92,173222,20.4516
3,Bharti Airtel,BHARTIARTL.NS,India,1687.4,1010364.53,18134.37,11.15,2023.08,23628,124.105
4,ICICI Bank,IBN,India,2412.809,862516.53,20616.38,37.12,7654.64,157799,20.6083
5,Infosys,INFY,India,1927.7251,805875.86,18660.0,24.18,4512.0,317240,31.875
6,State Bank of India,SBIN.NS,India,799.75,713745.66,39589.04,28.03,11098.8,232296,10.4299
7,Hindustan Unilever,HINDUNILVR.NS,India,2783.2,653937.87,7350.18,23.45,1723.8,19427,62.0506
8,ITC,ITC.NS,India,488.2,610621.04,8598.7,37.95,3263.74,37312,29.4841
9,Life Insurance Corporation of India (LIC),LICI.NS,India,948.85,600303.26,104146.0,4.82,5026.47,104036,12.9607
10,HCL Technologies,HCLTECH.NS,India,1839.65,497833.21,13407.03,19.68,2638.59,219325,1.42228
11,Larsen &amp; Toubro,LT.NS,India,3482.55,478847.12,27173.41,10.78,2930.18,54303,39.1831
12,Sun Pharmaceutical,SUNPHARMA.NS,India,1901.95,456340.59,5822.51,24.8,1444.27,38000,52.4552
13,Bajaj Finance,BAJFINANCE.NS,India,7302.0,451621.37,4353.16,55.22,2403.91,35425,33.0363
14,NTPC Limited,NTPC.NS,India,422.5,409975.0,22083.29,21.83,4822.13,15786,22.8359
15,Maruti Suzuki India,MARUTI.NS,India,12776.6,401701.73,16562.05,13.88,2299.18,16259,34.6089
16,Tata Motors,TATAMOTORS.NS,India,930.7,381758.24,52916.07,7.29,3861.84,91496,463.183
17,Kotak Mahindra Bank,KOTAKBANK.NS,India,1882.4,374251.24,8649.62,38.98,3371.63,103000,21.4233
18,Oil &amp; Natural Gas,ONGC.NS,India,292.55,368162.45,77528.55,12.05,9349.9,27165,9.56071
19,Axis Bank,AXISBANK.BO,India,1172.4,362678.43,9488.08,45.08,4277.39,104633,27.1068
20,Adani Enterprises,ADANIENT.NS,India,3137.2,357640.8,11567.94,10.2,1180.05,8676,143.325
21,Mahindra &amp; Mahindra,M&M.NS,India,3134.35,349517.64,16736.77,11.7,2863.64,260000,29.3876
22,Bajaj Auto,BAJAJ-AUTO.NS,India,11877.0,332439.41,5436.65,23.0,1250.98,6192,48.2219
23,UltraTech Cement,ULTRACEMCO.NS,India,11421.3,329321.76,8552.23,14.47,1237.67,21942,56.7109
24,Titan Company,TITAN.NS,India,3474.4,308200.81,6399.37,10.0,640.44,8680,93.6458
25,Powergrid Corporation of India,POWERGRID.NS,India,330.05,306966.27,5498.72,61.0,3354.56,8536,18.0071
26,Adani Ports & SEZ,ADANIPORTS.NS,India,1408.25,304383.39,3291.85,50.53,1663.51,3129,47.3982
27,Coal India,COALINDIA.NS,India,492.95,303791.79,15598.14,40.68,6344.69,248550,10.8753
28,Bajaj Finserv,BAJAJFINSV.NS,India,1876.4,299034.37,12719.73,39.81,5064.85,92079,39.5223
29,DMart,DMART.NS,India,4572.7,297560.68,6362.05,6.82,434.39,11312,125.02
30,Hindustan Aeronautics,HAL.NS,India,4446.15,297347.37,3432.19,37.6,1290.3,24375,32.8082
31,Trent Limited,TRENT.NS,India,8234.95,292904.0,1642.45,16.15,265.23,25277,587.004
32,Asian Paints,ASIANPAINT.NS,India,3037.2,291281.15,4224.16,19.45,821.99,9482,56.4221
33,Adani Green Energy,ADANIGREEN.NS,India,1792.2,284042.17,1184.85,19.08,226.12,1597,274.523
34,Wipro,WIT,India,535.5259,279836.37,10947.98,18.31,2004.78,234000,24.51
35,Siemens India,SIEMENS.NS,India,7749.9,275989.42,2560.84,15.61,399.84,8888,131.892
36,Adani Power,ADANIPOWER.NS,India,642.3,247731.24,6510.96,36.7,2389.89,3295,12.4972
37,JSW Steel,JSWSTEEL.NS,India,1012.05,246652.76,20788.19,6.51,1354.83,13301,25.8479
38,Nestlé India,NESTLEIND.NS,India,2511.8,242176.96,2325.72,22.32,519.12,8736,8.04602
39,Zomato,ZOMATO.NS,India,277.55,241641.11,1669.08,4.48,74.88,4204,-286.39
40,Indian Oil,IOC.NS,India,163.15,230387.35,92218.27,5.55,5126.3,31254,9.47701
41,Jio Financial Services,JIOFIN.NS,India,341.5,216964.52,135.76,77.6,105.43,0,6782.43
42,Hindustan Zinc,HINDZINC.NS,India,504.15,213019.5,3465.15,40.65,1408.64,3492,24.7918
43,DLF,DLF.NS,India,846.6,209559.75,742.89,36.11,268.26,2417,91.8327
44,Bharat Electronics,BEL.NS,India,285.9,208986.61,2526.14,26.67,673.79,8853,59.9612
45,Tata Steel,TATASTEEL.NS,India,160.66,200559.91,26735.54,3.06,818.97,121869,-31.9744
46,Indian Railway Finance,IRFC.NS,India,152.4,199189.84,3195.61,45.67,1458.92,37,32.037
47,Vedanta,VEDL.NS,India,497.5,194214.05,17251.63,21.39,3691.97,17526,17.1386
48,Varun Beverages,VBL.NS,India,592.35,192431.99,2116.3,18.34,388.09,9973,39.9484
49,LTIMindtree,LTIM.NS,India,6410.95,189810.92,4316.95,17.24,744.67,81650,42.0392
50,Grasim Industries,GRASIM.NS,India,2725.55,182864.25,15938.18,9.97,1589.22,23591,27.0603
51,InterGlobe Aviation,INDIGO.NS,India,4693.45,181294.85,8618.61,16.9,1456.68,26164,46.1906
52,ABB India,ABB.NS,India,8553.7,181259.74,1362.8,19.07,259.98,3384,169.796
53,SBI Life Insurance,SBILIFE.NS,India,1735.05,174089.71,16660.56,1.5,250.59,20787,92.3953
54,Hindalco Industries,HINDALCO.NS,India,747.35,165958.03,26271.59,8.76,2303.31,35869,19.2223
55,Divis Laboratories,DIVISLAB.NS,India,6142.25,163057.7,976.72,27.96,273.09,16543,107.696
56,Pidilite,PIDILITIND.NS,India,3110.2,158189.13,1495.59,20.1,300.74,7310,111.27
57,HDFC Life,HDFCLIFE.NS,India,723.85,155868.06,12687.96,1.64,209.16,32448,106.321
58,Power Finance Corp,PFC.NS,India,467.85,154395.19,4263.8,98.77,4211.51,501,8.27796
59,GAIL,GAIL.NS,India,229.4,150832.34,16184.68,11.25,1821.99,4754,30.7472
60,Samvardhana Motherson,MOTHERSON.NS,India,212.82,149746.54,12487.62,5.04,629.38,47456,75.1403
61,Tata Power,TATAPOWER.NS,India,461.15,147353.11,7499.69,9.19,689.9,23025,41.0009
62,Tech Mahindra,TECHM.NS,India,1647.05,145671.86,6224.02,6.62,412.26,116331,39.6261
63,Bharat Petroleum,BPCL.NS,India,337.65,144478.74,53806.96,5.79,3116.46,8594,2.5632
64,Ambuja Cements,AMBUJACEM.NS,India,585.2,144191.53,3857.1,18.0,694.38,3548,44.2337
65,Britannia Industries,BRITANNIA.NS,India,5978.5,144002.93,2005.77,18.61,373.48,4467,55.7616
66,Rural Electrification Corp,RECLTD.NS,India,537.9,141640.91,2200.54,0.0,2231.59,440,10.9485
67,Godrej,GODREJCP.NS,India,1315.7,134585.58,1664.89,4.5,75.27,13000,75.5099
68,TVS Motor,TVSMOTOR.NS,India,2794.35,132755.95,4129.0,8.18,337.95,5459,89.3786
69,CG Power and Industrial Solutions,CGPOWER.NS,India,858.15,131213.72,997.55,14.84,148.07,2771,116.904
70,Eicher Motors,EICHERMOT.NS,India,4728.05,129577.4,1997.15,32.96,658.37,4739,39.2183
71,Cipla,CIPLA.NS,India,1595.75,128871.97,3097.79,23.29,721.75,25927,36.6376
72,Cholamandalam Investment and Finance,CHOLAFIN.NS,India,1501.05,126134.14,1300.71,45.48,591.58,9125,40.0409
73,Shriram Transport Finance,SHRIRAMFIN.NS,India,3341.2,125632.12,2456.59,50.46,1239.67,64052,18.7026
74,Bank of Baroda,BANKBARODA.NS,India,242.42,125491.62,8147.74,38.87,3167.0,78122,7.03403
